,degree
2058,8
2059,9
2060,14
2061,26
2062,10
2063,20
2064,7
2065,11
2066,7
2067,4
2068,29
2069,9
2070,20
2071,17
2072,16
2073,8
2074,10
2075,5
2076,6
2077,25
2078,8
2079,3
2080,16
2081,8
2082,9
2083,8
2084,15
2085,13
2086,7
2087,30
2088,15
2089,18
2090,6
2091,18
2092,11
2093,45
2094,16
2095,19
2096,17
2097,13
2098,23
2099,9
2100,107
2101,36
2102,45
2103,9
2104,14
2105,9
2106,3
2107,12
2108,18
2109,6
2110,17
2111,13
2112,29
2113,17
2114,15
2115,18
2116,33
2117,12
2118,3
2119,4
2120,5
2121,11
2122,11
2123,8
2124,1
2125,2
2126,40
2127,43
2128,27
2129,10
2130,10
2131,7
2132,5
2133,5
2134,2
2135,6
2136,5
2137,2
2138,3
2139,5
2140,1
2141,10
2142,4
2143,1
2144,2
2145,3
2146,1
2147,1
2148,3
2149,1
2150,1
2151,1
2152,1
2153,2
2154,75
2155,1
2156,1
2157,1
2158,1
2159,27
2160,13
2161,6
2162,16
2163,17
2164,11
2165,32
2166,40
2167,21
2168,23
2169,8
2170,13
2171,5
2172,11
2173,29
2174,28
2175,23
2176,17
2177,30
2178,12
2179,46
2180,29
2181,11
2182,50
2183,8
2184,45
2185,10
2186,9
2187,21
2188,19
2189,7
2190,13
2191,24
2192,4
2193,33
2194,31
2195,26
2196,22
2197,15
2198,9
2199,10
2200,2
2201,5
2202,12
2203,8
2204,4
2205,2
2206,18
2207,18
2208,38
2209,7
2210,6
2211,7
2212,21
2213,16
2214,27
2215,18
2216,32
2217,20
2218,8
2219,7
2220,30
2221,19
2222,17
2223,7
2224,9
2225,6
2226,17
2227,8
2228,4
2229,2
2230,1
2231,4
2232,3
2233,27
2234,20
2235,6
2236,22
2237,17
2238,19
2239,9
2240,22
2241,8
2242,12
2243,14
2244,13
2245,6
2246,22
2247,10
2248,12
2249,18
2250,11
2251,28
2252,17
2253,26
2254,13
2255,8
2256,30
2257,7
2258,9
2259,15
2260,9
2261,8
2262,9
2263,21
2264,3
2265,11
2266,12
2267,17
2268,24
2269,8
2270,7
2271,7
2272,8
2273,13
2274,9
2275,2
2276,5
2277,5
2278,14
2279,23
2280,24
2281,15
2282,10
2283,9
2284,7
2285,10
2286,4
2287,3
2288,8
2289,8
2290,11
2291,7
2292,7
2293,12
2294,2
2295,11
2296,6
2297,11
2298,1
2299,9
2300,11
2301,15
2302,7
2303,3
2304,5
2305,9
2306,4
2307,2
2308,8
2309,9
2310,6
2311,6
2312,21
2313,6
2314,16
2315,25
2316,25
2317,1
2318,17
2319,7
2320,4
2321,9
2322,15
2323,13
2324,3
2325,7
2326,6
2327,7
2328,16
2329,18
2330,10
2331,9
2332,7
2333,14
2334,6
2335,16
2336,5
2337,12
2338,9
2339,9
2340,15
2341,17
2342,23
2343,8
2344,21
2345,12
2346,12
2347,12
2348,9
2349,5
2350,13
2351,8
2352,10
2353,15
2354,14
2355,10
2356,5
2357,18
2358,33
2359,5
2360,24
2361,9
2362,10
2363,10
2364,9
2365,10
2366,100
2367,11
2368,7
2369,13
2370,8
2371,12
2372,21
2373,11
2374,9
2375,23
2376,19
2377,23
2378,12
2379,20
2380,31
2381,17
2382,25
2383,16
2384,28
2385,24
2386,92
2387,10
2388,10
2389,24
2390,16
2391,22
2392,43
2393,22
2394,17
2395,19
2396,18
2397,19
2398,19
2399,26
2400,7
2401,27
2402,7
2403,8
2404,23
2405,5
2406,26
2407,12
2408,10
2409,23
2410,13
2411,9
2412,8
2413,31
2414,17
2415,6
2416,13
2417,8
2418,16
2419,9
2420,21
2421,17
2422,20
2423,22
2424,30
2425,7
2426,12
2427,18
2428,19
2429,9
2430,12
2431,6
2432,6
2433,55
2434,23
2435,1
2436,11
2437,10
2438,6
2439,19
2440,14
2441,9
2442,3
2443,8
2444,7
2445,8
2446,7
2447,10
2448,8
2449,15
2450,19
2451,8
2452,10
2453,6
2454,10
2455,2
2456,3
2457,8
2458,3
2459,4
2460,1
2461,4
2462,154
2463,2
2464,6
2465,4
2466,3
2467,10
2468,3
2469,20
2470,12
2471,11
2472,23
2473,11
2474,3
2475,7
2476,9
2477,1
2478,10
2479,3
2480,5
2481,26
2482,17
2483,16
2484,21
2485,16
2486,18
2487,23
2488,27
2489,11
2490,72
2491,30
2492,21
2493,93
2494,17
2495,29
2496,7
2497,9
2498,35
2499,6
2500,42
2501,21
2502,6
2503,11
2504,12
2505,33
2506,12
2507,5
2508,17
2509,9
2510,5
2511,4
2512,12
2513,4
2514,8
2515,31
2516,10
2517,9
2518,1
2519,9
2520,6
2521,10
2522,1
2523,8
2524,4
2525,11
2526,2
2527,1
2528,16
2529,10
2530,13
2531,16
2532,12
2533,1
2534,6
2535,7
2536,3
2537,8
2538,25
2539,14
2540,9
2541,3
2542,16
2543,7
2544,5
2545,4
2546,29
2547,5
2548,5
2549,1
2550,7
2551,25
2552,49
2553,6
2554,10
2555,16
2556,6
2557,11
2558,10
2559,4
2560,11
2561,9
2562,8
2563,10
2564,17
2565,11
2566,12
2567,15
2568,7
2569,12
2570,13
2571,11
2572,3
2573,9
2574,18
2575,11
2576,13
2577,11
2578,8
2579,6
2580,22
2581,66
2582,4
2583,24
2584,15
2585,2
2586,13
2587,3
2588,11
2589,5
2590,2
2591,22
2592,7
2593,9
2594,1
2595,13
2596,8
2597,3
2598,3
2599,7
2600,15
2601,4
2602,31
2603,9
2604,22
2605,12
2606,12
2607,11
2608,20
2609,27
2610,17
2611,22
2612,7
2613,4
2614,17
2615,2
2616,17
2617,24
2618,16
2619,4
2620,17
2621,23
2622,21
2623,13
2624,31
2625,14
2626,17
2627,9
2628,19
2629,28
2630,7
2631,12
2632,8
2633,6
2634,14
2635,10
2636,7
2637,12
2638,12
2639,13
2640,59
2641,15
2642,38
2643,28
2644,20
2645,41
2646,26
2647,16
2648,22
2649,13
2650,9
2651,8
2652,3
2653,17
2654,13
2655,11
2656,26
2657,36
2658,17
2659,29
2660,9
2661,27
2662,21
2663,19
2664,29
2665,19
2666,56
2667,21
2668,124
2669,24
2670,10
2671,40
2672,8
2673,13
2674,24
2675,35
2676,33
2677,10
2678,18
2679,36
2680,27
2681,16
2682,28
2683,11
2684,59
2685,16
2686,9
2687,9
2688,12
2689,22
2690,17
2691,9
2692,9
2693,17
2694,20
2695,4
2696,18
2697,21
2698,8
2699,12
2700,18
2701,9
2702,37
2703,5
2704,15
2705,17
2706,13
2707,12
2708,13
2709,7
2710,28
2711,8
2712,24
2713,18
2714,41
2715,20
2716,15
2717,6
2718,14
2719,13
2720,19
2721,6
2722,21
2723,6
2724,8
2725,27
2726,11
2727,12
2728,11
2729,25
2730,13
2731,27
2732,2
2733,4
2734,10
2735,14
2736,35
2737,2
2738,10
2739,19
2740,7
2741,13
2742,9
2743,23
2744,5
2745,15
2746,10
2747,18
2748,8
2749,46
2750,24
2751,1
2752,6
2753,8
2754,23
2755,22
2756,19
2757,12
2758,23
2759,7
2760,13
2761,11
2762,24
2763,14
2764,12
2765,22
2766,14
2767,20
2768,31
2769,5
2770,6
2771,15
2772,5
2773,21
2774,23
2775,23
2776,22
2777,35
2778,6
2779,8
2780,11
2781,3
2782,10
2783,9
2784,15
2785,17
2786,10
2787,2
2788,17
2789,6
2790,8
2791,8
2792,13
2793,23
2794,4
2795,4
2796,7
2797,6
2798,9
2799,25
2800,10
2801,8
2802,15
2803,27
2804,16
2805,19
2806,21
2807,8
2808,15
2809,13
2810,13
2811,9
2812,23
2813,2
2814,18
2815,24
2816,8
2817,13
2818,5
2819,7
2820,4
2821,11
2822,8
2823,4
2824,7
2825,10
2826,15
2827,7
2828,11
2829,5
2830,9
2831,147
2832,6
2833,9
2834,10
2835,7
2836,5
2837,13
2838,10
2839,4
2840,9
2841,3
2842,12
2843,75
2844,42
2845,29
2846,48
2847,9
2848,10
2849,25
2850,32
2851,40
2852,39
2853,25
2854,44
2855,4
2856,11
2857,41
2858,33
2859,54
2860,11
2861,14
2862,10
2863,30
2864,19
2865,14
2866,8
2867,3
2868,17
2869,22
2870,7
2871,20
2872,6
2873,38
2874,20
2875,5
2876,12
2877,12
2878,12
2879,14
2880,4
2881,15
2882,6
2883,11
2884,18
2885,46
2886,19
2887,19
2888,7
2889,10
2890,14
2891,6
2892,9
2893,13
2894,12
2895,18
2896,19
2897,15
2898,7
2899,8
2900,7
2901,11
2902,11
2903,8
2904,18
2905,7
2906,1
2907,14
2908,7
2909,7
2910,5
2911,9
2912,5
2913,6
2914,3
2915,1
2916,15
2917,11
2918,2
2919,7
2920,12
2921,13
2922,5
2923,17
2924,20
2925,5
2926,19
2927,7
2928,2
2929,14
2930,7
2931,8
2932,1
2933,5
2934,18
2935,6
2936,16
2937,8
2938,8
2939,2
2940,4
2941,5
2942,5
2943,1
2944,36
2945,18
2946,18
2947,19
2948,9
2949,3
2950,7
2951,9
2952,6
2953,4
2954,13
2955,15
2956,26
2957,4
2958,6
2959,4
2960,5
2961,11
2962,6
2963,3
2964,6
2965,5
2966,4
2967,20
2968,10
2969,7
2970,8
2971,7
2972,18
2973,11
2974,4
2975,13
2976,3
2977,4
2978,23
2979,14
2980,10
2981,22
2982,15
2983,4
2984,30
2985,1
2986,9
2987,7
2988,15
2989,28
2990,21
2991,16
2992,20
2993,12
2994,7
2995,9
